id,source,target,description,weight,links,in_context
0,한성대학교,학사지원팀,학사지원팀은 한성대학교의 학사 관련 업무를 담당하고 있습니다,8.0,2,True
1,한성대학교,2025학년도 2학기,2025학년도 2학기 일반 전부(과) 선발은 한성대학교에서 진행됩니다,9.0,2,True
2,2025학년도 2학기,2025.05.07.,2025학년도 2학기 일반 전부(과) 선발의 원서접수는 2025년 5월 7일에 시작됩니다,7.0,1,True
3,2025학년도 2학기,2025.05.13.,2025학년도 2학기 일반 전부(과) 선발의 원서접수는 2025년 5월 13일에 마감됩니다,7.0,1,True
5,한성대학교,서울특별시,한성대학교는 서울특별시에 위치하고 있습니다,9.0,1,True
6,한성대학교,1544-4113,1544-4113은 한성대학교의 전화번호 안내 서비스입니다,1.0,1,True
7,교무처,학사지원팀,"교무처는 학사지원팀의 상위 부서로, 학사 관련 업무를 총괄합니다",7.0,1,True
8,학사지원팀,종합정보시스템,학사지원팀은 종합정보시스템을 통해 전부(과) 신청을 관리합니다,8.0,1,True
9,학사지원팀,우촌관 301호,학사지원팀은 우촌관 301호에 위치하고 있습니다,8.0,1,True
4,2025학년도 2학기,2024.05.27.,2025학년도 2학기 일반 전부(과) 선발의 합격자 발표는 2024년 5월 27일에 이루어집니다,1.0,1,True
