id,entity,description,number of relationships,in_context
22,보훈 및 북한이탈주민장학,보훈 및 북한이탈주민장학은 국가유공자 및 북한이탈주민의 요건을 충족하는 학생에게 지급되는 장학금입니다,2,True
7,다이내믹 한성장학,다이내믹 한성장학은 군별 모집단위별 성적 우수자에게 수업료를 지원하는 장학금입니다,2,True
11,학술문화예술장학,학술문화예술장학은 전국규모대회에서 상위에 입상한 자에게 지급되는 장학금입니다,5,True
32,특별장학,,1,False
20,외국인유학생장학,외국인유학생장학은 외국에서 고교 전과정을 이수하고 외국인 특별전형으로 입학한 학생에게 지급되는 장학금입니다,2,True
9,한성사랑장학,한성사랑장학은 소년소녀가장 및 국민기초 생활보호대상자에게 수업료를 지원하는 장학금입니다,2,True
19,국가고시합격자장학,국가고시합격자장학은 국가기관이 시행한 고등고시 및 자격고시에 합격한 자에게 지급되는 장학금입니다,2,False
17,교직원자녀장학,교직원자녀장학은 한성학원 교직원의 직계 비속으로 입학한 자에게 지급되는 장학금입니다,2,True
5,삼학송 장학,삼학송 장학은 군별/모집단위별 성적 우수자에게 수업료를 지원하는 장학금입니다,2,True
10,총장특별장학,"총장특별장학은 학교 발전에 기여한 자에게 지급되는 특별 장학금으로, 한성인재상에 부합하는 자에게도 지급됩니다.",4,True
2,진리장학,진리장학은 수능 반영영역 모두 1등급인 자에게 수업료와 교재비를 지원하는 장학금입니다,3,True
1,우촌장학,우촌장학은 수시 입학 전형에서 모집단위별 수석 입학자에게 수업료와 교재비를 지원하는 장학금입니다,3,True
4,한성수능우수 장학금,한성수능우수 장학금은 수능 반영영역 모두 2등급 이내인 자에게 수업료를 지원하는 장학금입니다,2,True
3,지선장학,"지선장학은 수능 반영영역 중 언어/수리/외국어 1등급, 탐구 영역 2등급 이내인 자에게 수업료와 교재비를 지원하는 장학금입니다",3,True
0,한성대학교,한성대학교는 다양한 장학금을 제공하는 교육 기관입니다,11,True
6,낙산장학,낙산장학은 군별 모집단위별 성적 우수자에게 수업료를 지원하는 장학금입니다,2,True
8,상상력인재장학,상상력인재장학은 상상력인재학부 모집단위별 성적 우수자에게 수업료를 지원하는 장학금입니다,2,True
15,장학금,,2,True
24,학생처장,학생처장은 장학금 지급과 관련된 결정을 내리는 책임이 있는 인물입니다,7,False
12,수업료,수업료는 학생이 교육을 받기 위해 지불해야 하는 금액입니다,9,False
18,가족장학,가족장학은 본교 가족이 2인 이상 동시에 재학 중인 경우에 지급되는 장학금입니다,2,True
21,한성가족장학,한성가족장학은 한성여고 졸업자로 본교에 입학한 자에게 지급되는 장학금입니다,2,True
16,한성학원,한성학원은 학생들에게 다양한 장학금을 제공하는 교육 기관입니다,9,True
26,전공주임교수,전공주임교수는 특정 전공의 학생 추천을 담당하는 교수입니다,1,False
14,교재비,교재비는 학생이 학습에 필요한 교재를 구매하기 위해 지불해야 하는 비용입니다,3,False
25,학부(과)장,학부(과)장은 학부의 운영과 학생 추천을 담당하는 인물입니다,1,False
