id,source,target,description,weight,links,in_context
0,한성대학교,우촌장학,한성대학교는 우촌장학을 통해 수석 입학자에게 장학금을 지원합니다,8.0,11,True
1,한성대학교,진리장학,한성대학교는 진리장학을 통해 수능 1등급 학생에게 장학금을 지원합니다,8.0,11,True
2,한성대학교,지선장학,한성대학교는 지선장학을 통해 성적 우수 학생에게 장학금을 지원합니다,8.0,11,True
3,한성대학교,한성수능우수 장학금,한성대학교는 한성수능우수 장학금을 통해 성적 우수 학생에게 장학금을 지원합니다,8.0,11,True
4,한성대학교,삼학송 장학,한성대학교는 삼학송 장학을 통해 성적 우수자에게 장학금을 지원합니다,8.0,11,True
5,한성대학교,낙산장학,한성대학교는 낙산장학을 통해 성적 우수자에게 장학금을 지원합니다,8.0,11,True
6,한성대학교,다이내믹 한성장학,한성대학교는 다이내믹 한성장학을 통해 성적 우수자에게 장학금을 지원합니다,8.0,11,True
7,한성대학교,상상력인재장학,한성대학교는 상상력인재장학을 통해 성적 우수자에게 장학금을 지원합니다,8.0,11,True
8,한성대학교,한성사랑장학,한성대학교는 한성사랑장학을 통해 소년소녀가장 및 국민기초 생활보호대상자에게 장학금을 지원합니다,8.0,11,True
9,한성대학교,총장특별장학,한성대학교는 총장특별장학을 통해 특별히 기여한 자에게 장학금을 지원합니다,8.0,11,True
10,한성대학교,학술문화예술장학,한성대학교는 학술문화예술장학을 통해 대회에서 입상한 자에게 장학금을 지원합니다,1.0,11,True
11,우촌장학,수업료,우촌장학은 수업료를 전액 지원합니다,9.0,9,True
12,우촌장학,교재비,우촌장학은 교재비를 지원합니다,8.0,3,True
13,진리장학,수업료,진리장학은 수업료를 전액 지원합니다,9.0,9,True
14,진리장학,교재비,진리장학은 교재비를 지원합니다,8.0,3,True
15,지선장학,수업료,지선장학은 수업료를 전액 지원합니다,9.0,9,True
16,지선장학,교재비,지선장학은 교재비를 지원합니다,8.0,3,True
17,한성수능우수 장학금,수업료,한성수능우수 장학금은 수업료를 전액 지원합니다,9.0,9,True
18,삼학송 장학,수업료,삼학송 장학은 수업료를 100% 지원합니다,9.0,9,True
19,낙산장학,수업료,낙산장학은 수업료의 70%를 지원합니다,9.0,9,True
20,다이내믹 한성장학,수업료,다이내믹 한성장학은 수업료의 50%를 지원합니다,9.0,9,True
21,상상력인재장학,수업료,상상력인재장학은 수업료를 100% 지원합니다,9.0,9,True
22,한성사랑장학,수업료,한성사랑장학은 수업료의 50%를 지원합니다,9.0,9,True
23,총장특별장학,장학금,총장특별장학은 일정액의 장학금을 지원합니다,8.0,2,True
24,학술문화예술장학,장학금,학술문화예술장학은 일정액의 장학금을 지원합니다,1.0,1,True
25,한성학원,총장특별장학,한성학원은 총장특별장학을 통해 학생들에게 장학금을 지급합니다,8.0,2,True
26,한성학원,학술문화예술장학,한성학원은 학술문화예술장학을 통해 학생들에게 장학금을 지급합니다,8.0,6,True
27,한성학원,교직원자녀장학,한성학원은 교직원자녀장학을 통해 학생들에게 장학금을 지급합니다,8.0,6,True
28,한성학원,가족장학,한성학원은 가족장학을 통해 학생들에게 장학금을 지급합니다,8.0,6,True
29,한성학원,국가고시합격자장학,한성학원은 국가고시합격자장학을 통해 학생들에게 장학금을 지급합니다,8.0,1,True
30,한성학원,외국인유학생장학,한성학원은 외국인유학생장학을 통해 학생들에게 장학금을 지급합니다,8.0,6,True
31,한성학원,한성가족장학,한성학원은 한성가족장학을 통해 학생들에게 장학금을 지급합니다,8.0,6,True
32,한성학원,보훈 및 북한이탈주민장학,한성학원은 보훈 및 북한이탈주민장학을 통해 학생들에게 장학금을 지급합니다,1.0,6,True
33,한성학원,특별장학,한성학원은 특별장학 프로그램을 통해 다양한 장학금을 제공합니다,8.0,1,True
34,총장특별장학,학생처장,학생처장은 총장특별장학의 수혜자를 추천하는 역할을 합니다,7.0,6,True
35,학술문화예술장학,학부(과)장,학부(과)장은 학술문화예술장학의 수혜자를 추천하는 역할을 합니다,7.0,1,True
36,학술문화예술장학,전공주임교수,전공주임교수는 학술문화예술장학의 수혜자를 추천하는 역할을 합니다,7.0,1,True
37,교직원자녀장학,학생처장,학생처장은 교직원자녀장학의 수혜자를 추천하는 역할을 합니다,7.0,6,True
38,가족장학,학생처장,학생처장은 가족장학의 수혜자를 추천하는 역할을 합니다,7.0,6,True
40,외국인유학생장학,학생처장,학생처장은 외국인유학생장학의 수혜자를 추천하는 역할을 합니다,7.0,6,True
41,한성가족장학,학생처장,학생처장은 한성가족장학의 수혜자를 추천하는 역할을 합니다,7.0,6,True
42,보훈 및 북한이탈주민장학,학생처장,학생처장은 보훈 및 북한이탈주민장학의 수혜자를 추천하는 역할을 합니다,1.0,6,True
