id,source,target,description,weight,links,in_context
1768,프로그래밍 캠프,2024 동계 프로그래밍 캠프,2024 동계 프로그래밍 캠프는 프로그래밍 캠프의 일환으로 진행됨,10.0,3,True
1769,프로그래밍 캠프,2023 동계 프로그래밍 캠프,2023 동계 프로그래밍 캠프는 프로그래밍 캠프의 일환으로 진행됨,10.0,3,True
1773,프로그래밍 캠프,MINI PROJECT PROBLEMS,프로그래밍 캠프에서 미니 프로젝트 문제를 다룸,1.0,3,True
704,학생회,프로그래밍 대회,프로그래밍 대회는 컴퓨터공학부 학생회가 주관한 행사임,10.0,1,True
708,2024.11.18,프로그래밍 대회,프로그래밍 대회는 2024년 11월 18일에 개최됨,10.0,2,True
1096,무료,프로그래밍 대회,프로그래밍 대회 참가비는 무료임,9.0,1,True
1097,11/7(목) ~ 11/15(금),프로그래밍 대회,프로그래밍 대회 신청 기간은 11/7(목) ~ 11/15(금)임,9.0,2,True
1098,HTTPS://FORMS.GLE/2FDX1H3NMS9KE4N89,프로그래밍 대회,프로그래밍 대회 신청은 https://forms.gle/2fDx1H3Nms9ke4N89 링크를 통해 가능함,9.0,1,True
1705,2024 동계 프로그래밍 캠프,양평군,2024 동계 프로그래밍 캠프는 양평군에서 진행됨,19.0,1,True
1707,2024 동계 프로그래밍 캠프,2025년 1월 20일~2025년 1월 24일,2024 동계 프로그래밍 캠프는 2025년 1월 20일부터 1월 24일까지 진행됨,10.0,3,True
1711,2024 동계 프로그래밍 캠프,C 응용 프로그래밍 연습,C 응용 프로그래밍 연습 과정은 2024 동계 프로그래밍 캠프의 2단계 교육 내용임,9.0,1,True
1712,2024 동계 프로그래밍 캠프,C++/JAVA 응용 프로그래밍 연습,C++/Java 응용 프로그래밍 연습 과정은 2024 동계 프로그래밍 캠프의 3단계 교육 내용임,9.0,1,True
1713,2024 동계 프로그래밍 캠프,미니 프로젝트,미니 프로젝트 과정은 2024 동계 프로그래밍 캠프의 4단계 교육 내용임,9.0,1,True
1714,2024 동계 프로그래밍 캠프,프로그래밍 몰입교육,프로그래밍 몰입교육은 2024 동계 프로그래밍 캠프의 교육 목표임,10.0,1,True
1774,2024 동계 프로그래밍 캠프,2024년 1월 15일,2024 동계 프로그래밍 캠프는 2024년 1월 15일에 시작됨,10.0,3,True
1775,2024 동계 프로그래밍 캠프,2024년 1월 18일,2024 동계 프로그래밍 캠프는 2024년 1월 18일에 종료됨,10.0,3,True
1776,2023 동계 프로그래밍 캠프,오크밸리리조트,2023 동계 프로그래밍 캠프는 오크밸리리조트에서 진행됨,10.0,1,True
1777,2023 동계 프로그래밍 캠프,2023년 1월 9일,2023 동계 프로그래밍 캠프는 2023년 1월 9일에 시작됨,10.0,2,True
1778,2023 동계 프로그래밍 캠프,2023년 1월 12일,2023 동계 프로그래밍 캠프는 2023년 1월 12일에 종료됨,10.0,2,True
77,동계 프로그래밍 캠프 모집 안내,2024.11.27,2024 동계 프로그래밍 캠프 모집 안내 게시일임,8.0,1,True
1667,학과동아리 'BUG'와 함께하는 컴퓨터공학부 프로그래밍대회,2024.11.07,학과동아리 'bug'와 함께하는 프로그래밍대회의 작성일임,10.0,1,True
490,컴퓨터공학부,프로그래밍 캠프,"컴퓨터공학부의 프로그래밍 캠프는 컴퓨터공학부에서 주관하는 행사로, 관련 정보를 제공하는 페이지로 연결됩니다. 이 페이지는 컴퓨터공학부의 프로그래밍 캠프에 대한 다양한 정보를 포함하고 있으며, 캠프와 관련된 내용들을 종합적으로 안내합니다.",53.0,7,True
702,컴퓨터공학부,프로그래밍 대회,프로그래밍 대회는 컴퓨터공학부 소속의 행사임,9.0,7,True
1704,2024 동계 프로그래밍 캠프,컴퓨터공학부,2024 동계 프로그래밍 캠프는 컴퓨터공학부에서 주관함,10.0,7,True
1366,컴퓨터공학부,코딩 라운지,코딩 라운지는 컴퓨터공학부에서 운영하는 튜터링 프로그램임,10.0,7,True
1375,컴퓨터공학부,2024 LG유플러스 테크 컨퍼런스,2024 LG유플러스 테크 컨퍼런스는 컴퓨터공학부 주최의 행사임,10.0,7,True
67,컴퓨터공학부,동계 프로그래밍 캠프 모집 안내,동계 프로그래밍 캠프 모집 안내는 컴퓨터공학부에서 주관하는 행사임,9.0,7,True
