id,text
188,"Title: [대회] 학과동아리'bug'와 함께하는 컴퓨터공학부 프로그래밍대회 안내URL Source: https://hansung.ac.kr/bbs/CSE/1248/264770/artclView.doMarkdown Content:안녕하세요. 컴퓨터공학부 사무실입니다.아래 안내글 확인 및 많은 참여 바랍니다.------------------------------------------------안녕하십니까! 컴퓨터공학부 학생회 ‘운김’입니다!컴퓨터공학부 학우님들의 학업 증진을 위해 컴퓨터공학부 학과 동아리 ‘bug’와 협업하여 프로그래밍 대회를 개최합니다! 양질의 문제들과 상품이 준비되어 있으니 많은 관심 부탁드립니다!코딩 실력이 부족해도 괜찮습니다! 누구나 참가비 무료로 참여할 수 있고, 좋은 경험이 될거라 믿어 의심치 않습니다! 여러분의 실력을 뽐내 주시기 바랍니다! 다과 및 먹을거리도 많이 준비해놓을 예정이니 드시면서 편하게 코딩하러 오시면 됩니다!💻 일시 : 2024년 11월 18일 (월) 14:00 ~ 17:00💻 장소 : 상상관 12층 컨퍼런스홀💻 참여 대상 : IT공과대학 1학년, 컴퓨터공학부 소속학생💻 참가비 : 무료💻 신청 기간 : 11/7(목) ~ 11/15(금)💻 신청 링크 : https://forms.gle/2fDx1H3Nms9ke4N89 (인스타그램 상단 링크트리 참고)💻 상품행사 참여자 중 공대학생회비 납부자 참가상 - 스타벅스 아이스 아메리카노 T1등상 : 소니 노이즈캔슬링 블루투스 헤드폰2등상 : Apple 에어팟 4세대 프로3등상 : 인스탁스 미니12 즉석카메라4등상 : 로지텍 Signature 무선 마우스 + 키보드5등상 : 배민 상품권 5만원💻 출석 인정 가능 : 프로그래밍 대회 참가 확인서가 발행될 예정이니 해당 시간에 수업이 있으신 분들은 교수님께 출석 인정 가능 여부를 확인하시고 참여하시면 출석 인정 되니 많은 참여 부탁드립니다.💻 참가시 주의사항1. 별도의 코드가 없는 컨퍼런스 홀에서 진행되므로 개인 노트북을 충분히 충전한 상태로 준비해주시면 감사드리겠습니다.2. Chat GPT 혹은 다른 소스코드 참고를 금합니다.3. 문제풀이 시간은 100분으로 시간을 엄수해주시기 바랍니다.- 기타 문의사항- 컴퓨터공학부 운김 인스타그램 hsu_comgong- 정학생회장 대리인 채희석 010-7739-5870"
329,"/CSE/10757/subview.do#none)[](https://hansung.ac.kr/CSE/10757/subview.do#none)*   [홈으로](https://hansung.ac.kr/sites/CSE/index.do)프로그래밍 캠프========*   인쇄*   공유닫기    *   페이스북 공유하기    *   트위터 공유하기    *   핀터레스트 공유하기    *   카카오스토리 공유하기    *   주소 공유하기*   즐겨찾기**즐겨찾는 메뉴**닫기 메뉴추가하기 초기화   fnctId=sitemenu,menuViewType=tab  /WEB-INF/jsp/k2web/com/cop/site/layout.jsp CSE_JW_MS_K2WT001_S  fnctId=imageSlide,fnctNo=258 프로그래밍캠프(**2** 개)----------------1 2*   1*   2슬라이드 재생 슬라이드 정지이전 슬라이드 다음 슬라이드 imageSlideSetupSeq=258,cnvrsVe=1,stopTime=3,pcCo=1,cnvrsMth=FADEIN,pcMgWidth=80,isImageNoHandlr=true,isCnvrsHandlr=true,isPlayStopHandlr=true 행사 개요-----프로그래밍 캠프는 겨울방학을 이용하여 외부 교육 장소에서 4박 5일 합숙하면서 집중적으로 프로그래밍을 학습하는 활동입니다. 학생들은 부족했던 프로그래밍 능력을 향상시킬 수 있고, 학부에 대한 자부심을 느낄 수 있는 자리가 될 것입니다. 또한 학부 교수진이 직접 캠프에 참여하여 전공 교육뿐 아니라 학생들과 소중한 소통의 시간을 가지고 있습니다.프로그램 내용------- C (Level 1 & Level 2), C++ (Level 1 & Level 2), Java, Mini Project Problems ### 2024 동계 프로그래밍 캠프2024년 1월 15일 (월) ~ 2024년 1월 18일 (목),경기도 양평군 강하면 블룸비스타학생 105명, 튜터 9명,학부 교수 8명 참석### 2023 동계 프로그래밍 캠프 2023년 1월 9일 (월) ~ 2023년 1월 12일 (목), 오크밸리리조트 학생 105명, 튜터 7명, 학부 교수 8명 참석[TOP](https://hansung.ac.kr/CSE/10757/subview.do#)"
107,Title: 컴퓨터공학부 학생회와 학과 동아리 BUG가 개최한 프로그래밍 대회 결과URL Source: https://hansung.ac.kr/bbs/CSE/1248/265004/artclView.doMarkdown Content:안녕하십니까? 컴퓨터공학부 학과 동아리 BUG입니다! 2024.11.18에 컴퓨터공학부 학생회 ‘운김’과 개최했던 프로그래밍 대회가 종료되어 결과를 안내합니다! 먼저 많은 관심 가져주시고 참여해주신 학우분들께 감사한 마음과 수상하신 학우분들께는 축하의 말씀 드립니다!수상자이번 대회의 문제지와 소스 코드도 공유해드립니다!github: https://github.com/HSU-CSE/HSUPC-2024-2앞으로도 다양한 행사와 더불어 컴퓨터공학부 학과 동아리인 BUG에도 많은 관심 부탁드립니다! 감사합니다!
319,"Title: ★2024 동계 프로그래밍 캠프 모집 안내★URL Source: https://hansung.ac.kr/bbs/CSE/1248/265112/artclView.doMarkdown Content:<2024 컴퓨터공학부 동계 프로그래밍 캠프 모집 안내>안녕하세요, 컴퓨터공학부 사무실입니다.2024 동계 프로그래밍 캠프 안내드립니다.컴퓨터공학부에서는 프로그래밍 몰입교육의 일환으로 방학 중 프로그래밍 캠프를 진행하고자 합니다.모든 경비는 학부에서 지원하며 교수님들의 지도하에 4박 5일 동안 집중적으로 프로그래밍 공부를 할 수 있는 좋은 기회이므로, 많은 신청 바랍니다.자세한 내용은 아래를 참고해주시기 바랍니다.많은 참여 부탁드립니다.-----------------------------------------------------------------------------1. 일시 : 2025년 1월 20일 (월) ~ 2025년 1월 24일 (금) , 4박 5일간2. 장소 : 경기도 양평군 강하면 블룸비스타 (https://www.bloomvista.co.kr/) 예정3. 모집인원 및 선발 : 110명(신청자가 모두 참가 확정이 아니며, 추후 면담과 서약서까지 제출해야 확정됨)(예상 모집 인원 : 1학년 60%, 2학년 30%, 3학년 이상 10%) 내외(신청 인원 초과시 내부 기준에 의해 선발합니다.)4. 모집대상 : 1학년 (컴퓨터공학부 소속 트랙을 신청한 학생) ~ 3학년, 편입생, 복학생(2025년 1학기)- 컴퓨터프로그래밍(C언어) 미수강 학생은 참가가 제한됨5. 반 편성 : 1단계 ~ 4단계 수준별 반 편성레벨 1 : C 프로그래밍 초급 -> 프로그래밍 반복 연습으로 실력 향상레벨 2 : C 프로그래밍을 어느 정도 하는 수준 -> C 응용 프로그래밍 연습레벨 3 : C++/Java 프로그래밍을 어느 정도 하는 수준 --> C++/Java 응용 프로그래밍 연습레벨 4 : 미니 프로젝트를 하고 싶은 수준 -> 작은 프로젝트를 여러 개 수행6. 교육 내용 : C, C++, Java 문제 풀이식 프로그래밍 및 프로젝트 집중7. 참가신청 : 2024.12.4(수) 오후 11:59 까지 (모집인원의 130% 초과시 조기 마감될 수 있음)8. 참가방법: 아래의 신청 링크를 통해 신청https://docs.google.com/forms/d/e/1FAIpQLScPR5x-hIzZvJ1w2AEwLzthm0N7JddpU8bagkdsm_HNC9uwMA/viewform?usp=sf_link9. 참가비 : 무료10. 캠프 OT- 일시 및 장소 : 12월 3주차 예정, 일시 및 장소 추후 확정 공지- 캠프 참석을 위해 OT 및 서약서 제출을 반드시 해야 합니다.(수업 참여 등 부득이한 사정으로 OT 미참석 시 서약서 서면제출 가능)11. 기타* 신청자가 모집인원을 초과할 경우, 내부 기준에 따라 선발합니다.* 전 기간 참석자에게는 수료증을 발급합니다.* 연락처 정보 및 개인정보 잘못 기입 되었을 경우 연락이 되지 않아 신청이 취소될 수 있습니다.* 캠프 기간의 학습 내용에 대한 결과보고서(양식 제공예정) 작성을 의무적으로 수행해야 하며 작성한 코드는 github를 통해 공유해야 합니다.12. 일정 (예정)오전 오후 저녁1/20 월요일 출발 프로그래밍 연습 자유시간1/21 화요일 프로그래밍 연습 프로그래밍 연습 자유시간1/22 수요일 프로그래밍 연습 프로그래밍 연습 자유시간1/23 목요일 프로그래밍 연습 프로그래밍 연습 자유시간1/24 금요일 캠프 결산 미팅 도착13. 문의 : 송미화 교수님 (연구관 314호, mhsong@hansung.ac.kr) 에게 문의※ 주의사항 ※참가가 확정되면 반드시 참가해야 하며,참가가 확정된 후 �"
7,"Title: URL Source: https://hansung.ac.kr/bbs/CSE/1248/artclList.do?page=4Markdown Content:## 분류## 게시글 리스트47### 새소식| 번호 | 제목 | 작성자 | 작성일 | 조회수 | 첨부파일 || --- | --- | --- | --- | --- | --- || 33 | [대학일자리플러스센터] 동계방학 IT직무 부트캠프 모집 | 컴퓨터공학부 | 2024.12.26 | 502 |  || 32 | 2025-1 캡스톤디자인 과목 관련 공지 | 컴퓨터공학부 | 2024.12.24 | 1817 |  || 31 | 블록체인 관련 스타트업 아르바이트 | 컴퓨터공학부 | 2024.12.17 | 436 |  || 30 | [LG AI 연구원에서 주관하는 교육 프로그램] LG Aimers 6기 모집 안내 | 컴퓨터공학부 | 2024.12.13 | 388 |  || 29 | (재학생) 2025-2월 졸업대상자 졸업요건 제출 안내 | 컴퓨터공학부 | 2024.12.02 | 2006 | 2 || 28 | 심규현 교수님의 겨울방학 10주 추천 활동 | 컴퓨터공학부 | 2024.11.28 | 996 |  || 27 | [SW중심대학사업단] 한성SW중심대학 페스티벌 (대학원 설명회, 오픈랩) | 컴퓨터공학부 | 2024.11.27 | 362 |  || 26 | ★2024 동계 프로그래밍 캠프 모집 안내★ | 컴퓨터공학부 | 2024.11.27 | 2343 |  || 25 | 컴퓨터공학부 학생회와 학과 동아리 BUG가 개최한 프로그래밍 대회 결과 | 컴퓨터공학부 | 2024.11.21 | 431 |  || 24 | [한성SW중심대학 페스티벌] 코딩대회 및 행사 홍보 | 컴퓨터공학부 | 2024.11.15 | 616 |  |"
184,Title: URL Source: https://hansung.ac.kr/curriculum/CSE/141/1247/artclView.doMarkdown Content:## 교과목 소개컴파일러의 역할과 구조에 대한 설명과 컴파일러의 일부 모듈을 실제로 구현함으로써 컴파일러에 대한 이해를 높일 뿐만 아니라 프로그래밍의 수준을 높이는 것을 과목의 목표로 한다. 또한 컴퓨터를 이용한 프로그래밍 언어와 자연언어 처리 방법에 대한 이해를 증진시킨다. 언어에 대한 지식을 표현하고 프로그래밍 언어로 구현하는 방법을 습득하게 될 것이며 이를 통해 보다 고차원적인 문제를 해결하는 프로그램 개발에 대한 경험을 쌓게 될 것이다.### 교육과정소개| 교과목코드 | 교과목 | 학점 || --- | --- | --- || V020022 | 컴파일러 | 3 |
273,"의 대학(원) 재학생 및 휴학생을 대상... 2025.04.25](https://hansung.ac.kr/bbs/CSE/1248/268311/artclView.do?layout=unknown)     *   [[해외 현장실습] TOSUN Technology 현장실습생 선발 안내 (~4/30) 현장실습지원센터에서 TOSUN과 함께하는 해외 현장실습에 참여할 학생을 모집합니다.1. 세부내용1) 학점인정 ○ (하계방학) 일선 및 전선 최대 6학점 인정 ○ (2학기 4개월) ... 2025.04.25](https://hansung.ac.kr/bbs/CSE/1248/268307/artclView.do?layout=unknown)     *   [★2025-1학기 컴퓨터공학부 캡스톤디자인 전시회 취합 공지 2025-1학기 컴퓨터공학부 캡스톤디자인 관련하여 아래 스프레드시트에 팀 별 전시회 정보 및 변동 사항을 작성해주시기 바랍니다.1. 작성 기한- 25년 4월 23일 오전 10시까지... 2025.04.21](https://hansung.ac.kr/bbs/CSE/1248/268169/artclView.do?layout=unknown)     *   [삼성 청년SW·AI아카데미(SSAFY) 14기 모집 안내 □ 삼성청년SW AI아카데미에서 14기 교육생을 모집합니다.- 모집기간 : 25년 4월 28일(월) ~ 5월 12일(월)- 지원대상 : 국내외 4년제 대학 졸업자 및 졸업예정자('... 2025.04.16](https://hansung.ac.kr/bbs/CSE/1248/268055/artclView.do?layout=unknown)     *   [외부 교육과정 안내 https://www.acornedu.co.kr/kdigital/java_cloud.htmlhttps://acornedu.co.kr/kdigital/rotem위 링크로 관련 정보 ... 2025.04.03](https://hansung.ac.kr/bbs/CSE/1248/267774/artclView.do?layout=unknown) [더보기 READ MORE](https://hansung.ac.kr/bbs/CSE/1248/artclList.do?layout=unknown ""새소식더보기"")### 전공 심화 트랙산업체 수요를 바탕으로 특성화 트랙을 선정하여 전공 심화 교육을 실시한다(모바일 소프트웨어, 웹 공학,빅 데이터, 디지털 컨텐츠 및 가상 현실)### 프로젝트 지향 교육산업체와 함께 프로젝트를 진행하여 현장 실무 능력과 융합적 사고력을 배양한다(캡스톤 디자인, 경진 대회,산학협력 프로젝트 )### 현장 실습 교육국내외 인턴쉽 프로그램을 통해 현장 적응력을 배양하고 취·창업을 지원한다(ICCEUSA 해외 인턴 사업, 취·창업 교육,IPP형 일학습 병행제)[TOP](https://hansung.ac.kr/CSE/index.do#)"
304,Title: <전공기초: 컴퓨터프로그래밍 및 웹프로그래밍기초 중간&기말시험 일정 및 시험장소 안내>URL Source: https://hansung.ac.kr/bbs/CSE/1248/267331/artclView.doMarkdown Content:<중간&기말 시험 일정 및 장소 안내>### <컴퓨터프로그래밍> 관련 표| <컴퓨터프로그래밍> |  || --- | --- || <컴퓨터프로그래밍> |  || 중간고사 4/26토 09:30 ~ 10:30 |  || 기말고사 6/14토 09:30 ~ 10:30 |  || 분반 | 인원 || A | 41 || B | 41 || C | 40 || 9 | 43 || N | 20 || O | 38 ||  |  || <웹프로그래밍기초> |  || 중간고사 4/26토 11:00 ~ 12:00 |  || 기말고사 6/14토 11:00 ~ 12:00 |  || 분반 | 인원 || 7 | 39 || 8 | 40 || A | 42 || B | 41 || C | 44 || M | 41 |
151,Title: [대학일자리플러스센터] 동계방학 IT직무 부트캠프 모집URL Source: https://hansung.ac.kr/bbs/CSE/1248/265639/artclView.doMarkdown Content:안녕하세요. 대학일자리플러스센터에서 운영하는 동계 IT부트캠프 프로그램 안내드리오니 많은 참여 부탁드립니다.[프로그램명]1. 알고리즘 코딩테스트 대비반(파이썬)2. 데이터분석 준전문가(ADsP)자격증 취득 대비반[일시]2025.1.13(월)~2025.1.27(월) 13:00~16:00 (총 11일)[운영방법]온라인 강의(ZOOM 활동)[모집인원]프로그램별 100명(선착순)[혜택]1. 80% 이상 수료시 수료증 발급2. 80% 이상 수료시 비교과 포인트 80pt[참여방법]1.(한성대생) 스마트자기관리시스템 신청- 링크 : https://hsportal.hansung.ac.kr/ko/program/all/view/12761[문의]대학일자리플러스센터 02-760-4224
305,Title: URL Source: https://hansung.ac.kr/bbs/CSE/1248/artclList.do?page=5Markdown Content:## 분류## 게시글 리스트57### 새소식| 번호 | 제목 | 작성자 | 작성일 | 조회수 | 첨부파일 || --- | --- | --- | --- | --- | --- || 23 | [서울시&KIST] 서울퀀텀캠퍼스 양자기술 산업전문과정(5일과정) 교육생 모집 홍보 | 컴퓨터공학부 | 2024.11.12 | 224 | 2 || 22 | 2025년 KLA Customer Support Engineer 동계 인턴 채용 | 컴퓨터공학부 | 2024.11.12 | 233 |  || 21 | [대회] 학과동아리'bug'와 함께하는 컴퓨터공학부 프로그래밍대회 안내 | 컴퓨터공학부 | 2024.11.07 | 349 |  || 20 | [채용공고] 코스닥상장사 ㈜윈스 정규직 채용 | 컴퓨터공학부 | 2024.11.06 | 275 |  || 19 | 일학습병행 설명회 및 3차모집 안내 | 컴퓨터공학부 | 2024.11.06 | 147 |  || 18 | [2024 진로취업 페스티벌] 졸업생 초청 직무 특강 홍보 | 컴퓨터공학부 | 2024.11.05 | 193 |  || 17 | 공대생을 위한 LBT 지식나눔 프로젝트 (비교과 포인트 50P) 홍보 | 컴퓨터공학부 | 2024.11.04 | 134 |  || 16 | 대학(원)생 빅데이터 분석 경진대회 홍보 | 컴퓨터공학부 | 2024.10.22 | 164 | 4 || 15 | 2025학년도 대학원 전기정시 신입생 및 편입생(재입학생) 모집 | 컴퓨터공학부 | 2024.10.21 | 146 |  || 14 | 공공데이터 활용 경진대회 홍보 | 컴퓨터공학부 | 2024.10.17 | 131 | 1 |
