id,source,target,description,weight,links,in_context
45,한성대학교,김진환,김진환은 한성대학교의 웹공학 트랙 교수입니다,8.0,12,True
46,한성대학교,정인상,정인상은 한성대학교의 웹공학 트랙 교수입니다,8.0,12,True
47,한성대학교,김성동,김성동은 한성대학교의 웹공학 트랙 교수입니다,8.0,12,True
48,한성대학교,김남윤,김남윤은 한성대학교의 웹공학 트랙 교수입니다,8.0,12,True
50,한성대학교,유수진,유수진은 한성대학교의 웹공학 트랙 교수입니다,8.0,12,True
51,한성대학교,황기태,황기태는 한성대학교의 웹공학 트랙 교수입니다,8.0,12,True
53,한성대학교,정인환,정인환은 한성대학교의 웹공학 트랙 교수입니다,8.0,12,True
54,한성대학교,황호영,황호영은 한성대학교의 웹공학 트랙 교수입니다,1.0,12,True
55,김진환,웹공학트랙,김진환은 웹공학트랙의 교수입니다,8.0,1,True
56,정인상,웹공학트랙,정인상은 웹공학트랙의 교수입니다,8.0,1,True
57,김성동,웹공학트랙,김성동은 웹공학트랙의 교수입니다,8.0,1,True
58,김남윤,웹공학트랙,김남윤은 웹공학트랙의 교수입니다,8.0,1,True
59,박승현,웹공학트랙,박승현은 웹공학트랙의 교수입니다,8.0,1,True
60,유수진,웹공학트랙,유수진은 웹공학트랙의 교수입니다,8.0,1,True
61,황기태,웹공학트랙,황기태는 웹공학트랙의 교수입니다,8.0,1,True
62,이항찬,웹공학트랙,이항찬은 웹공학트랙의 교수입니다,8.0,1,True
63,정인환,웹공학트랙,정인환은 웹공학트랙의 교수입니다,8.0,1,True
64,황호영,웹공학트랙,황호영은 웹공학트랙의 교수입니다,1.0,1,True
68,한성대학교,HTTPS://HANSUNG.AC.KR/BBS/CSE/1248/264079/ARTCLVIEW.DO,링크는 한성대학교의 컴퓨터공학부 홈페이지 오픈에 대한 정보를 제공합니다,1.0,12,True
143,프로그래밍랩,자료구조,프로그래밍랩 과목은 자료구조를 기초로 합니다,16.0,1,True
149,한성대학교,웹프로그래밍,한성대학교는 웹프로그래밍 과목을 제공하는 교육 기관입니다,24.0,12,True
